record_id,label_true,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
0,0,thomas,rokobaro,12,herschell circuit,killanrey,lawrence,2272,nsw,,1451137
1,0,flynn,rokobaro,12,herschell circuit,killarney,lawrence,2227,nsw,19720812,1451137
2,1,karli,alderson,144,nulsen circuit,iowanna,tings lpa,3139,nsw,19510826,9541034
3,1,karli,alderson,144,nulsen circuit,iowanna,tingalpa,3139,nsw,19510826,9541034
4,2,alexandra,britten,66,finniss crescent,guyra,montmorency,3226,qld,19581231,6358553
5,2,alexandra,britten,67,finniss crescent,guyra,montmorency,3226,qld,19581231,6358573
6,3,hugo,alderson,440,mccombie street,rosedale,malvern east,5023,nsw,19150416,5572942
7,3,molly,webb,440,mccombie street,rosedale,malvern east,5023,nsw,19150416,5572942
8,4,archie,wilikns,80,skinner street,yandar ms 582,bethania,6415,sa,19030316,7761516
9,4,archie,wilkins,80,skinner street,yandar ms 582,bethania,6415,sa,19030316,7761516
10,5,maddison,berry,47,rosenthal street,harbour town shopping centre,golden rgove,2560,sa,19840928,6298753
11,5,maddison,berry,76,rosenthal street,harbour town shopping centre,golden grove,2560,sa,19840928,6298753
12,6,,trevorrow,16,dumas street,2/98-latchford barracks,mount immaney,2281,wa,19530313,4811642
13,6,,trevorrow,16,dumas street,2/98-latchford barracks,mount ommaney,2281,wa,19530313,4811642
14,7,charlee,reece,12,steffanonui circuit,,hopetoun,2081,wa,19750608,1671546
15,7,lawson,reece,12,steffanoni circuit,stonehouse,hopetoun,2081,wa,19750608,1671546
16,8,james,jeslser,53,howe crescent,nuffield v illage,st clair,4215,vic,19120111,5961736
17,8,james,jesser,53,howe crescent,nuffield village,st clair,4215,vic,19120111,5961736
18,9,james,greenp,12,richards street,dentureclnc,laverton,4157,nsw,19170828,2482106
19,9,james,green,12,richards street,denture clnc,laverton,4157,nsw,19170828,2482106
20,10,kayla,harrington,,maltby circuit,coaling,coolaroo,3465,nsw,19150612,9004242
21,10,kayla,harrington,38,maltby circuit,coaling,coolaroo,3465,nsw,19150612,9004242
22,11,aloysius,pegg,4,forster specialis t medical centre,meldrum street,woodend,5037,sa,19530306,9175450
23,11,aloysius,pegg,4,meldrum street,forster specialist medical centre,woodend,5037,sa,19530306,5615832
24,12,kirra,menzies,10,flt 68,woralul street,orford,2615,nsw,19940915,9654146
25,12,kirra,menzies,21,woralul street,flt 68,orford,2615,nsw,19940915,9654146
26,13,daniel,morrison,25,bellchambers crescent,ascot park,,4514,vic,,8699433
27,13,daniel,morrison,25,bellchambers crescent,ascot park,point samson,4514,vic,19620316,8699433
28,14,liam,wilde,11,melbourne avenue,banksia village,bray park,2621,nsw,19570628,7989054
29,14,liam,wilde,11,melbourne avenue,banksia village,bray park,2612,nsw,19570628,7989054
30,15,freya,myles,4,lea plce,anstee court,flemington,4519,sa,19530306,5346011
31,15,freya,myles,4,lea place,anstee court,flemington,4519,sa,19530306,5346011
32,16,adam,perl,150,shean lpace,gungahlin market place,glengarry,2155,vic,19330624,7388490
33,16,adam,perl,150,shean place,gungahlin market place,glengarry,2155,vic,19330624,7388490
34,17,kyle,ryany,14,ind place,rocklea,port augusta,4350,nsw,19411102,2059726
35,17,kyle,ryan,15,ind place,rocklea,port augusta,4305,nsw,19411102,2059726
36,18,matthew,campbell,94,mosman poace,,north beach,2617,nsw,19430607,5538479
37,18,samuel,campbell,32,mosman place,,north beach,2617,nsw,19430607,5538479
38,19,cambetll,hursey,3,corona place,sweet w atdrs,toowoomba,3980,sa,19870526,7118146
39,19,cambell,hursey,3,spinifex street,sweet waters,toowoomba,3980,sa,19800422,7118146
40,20,samuel,,15,jabanunggs avenue,wattle place,brighton,3199,vic,19870903,8943942
41,20,samuel,,15,jabanungga avenue,wattle place,brighton,3199,vic,19870903,8943942
42,21,adam,ciogti,127,hyattpalce,kersey' south,coffs harbour,5039,nsw,19910920,3451318
43,21,adam,ciotti,13,hyatt place,kersey' south,coffs harbour,5039,nsw,19910920,9490795
44,22,rees,maribanne,6,nerli place,weeroona,mansfield,3644,sa,19770628,4235561
45,22,marianne,rees,6,nerli place,weeroona,mansfield,3644,sa,19770628,4235561
46,23,kelsey,halligan,3,dilboong place,,kedron,6027,nsw,19900301,8576385
47,23,kelsey,halligan,3,dilboong place,rosetta village,kedron,6027,nsw,19900301,8576385
48,24,alexandra,adche,13,badimara street,winter park,cooltong,4121,vic,19481129,6792452
49,24,alexandra,asche,17,badimara street,winter park,cooltong,4121,vic,19481129,6792452
50,25,ronna,bordeux,1,federal ighway,killa ra lodge,gorokan,3000,qld,19111016,7679165
51,25,annabella,bordeaux,1,federal highway,killara lodge,bucasia,3000,qld,19111016,7679165
52,26,,hoffman,1,brooker street,,lockles,2070,wa,19760226,6891487
53,26,abbey,hoffman,17,brooker street,de boerderij,lockleys,2070,wa,19760226,6891487
54,27,fiona,worsley,59,gingana street,thorndale,primrose sands,5009,vic,19960902,9804147
55,27,fiona,worsley,59,gingana street,thorndale,dysart,2193,vic,19960902,9804147
56,28,isabelle,lowe,27,kangairlla,grainger circuit,point turton,2450,vic,19980310,7007836
57,28,isabelle,lowe,27,grainger circuit,kangarilla,point turton,2450,vic,19980310,7007836
58,29,aidan,berry,4,lempriere crescent,,,3228,nsw,19280621,5213963
59,29,aidan,berry,20,lempriere crescent,fair lea,bibra lake,3228,nsw,19280621,5213963
60,30,joshua,dolan,98,colborne place,warowiw,lindfield,3568,nsw,19521116,9500871
61,30,joshua,dolan,98,colborne place,warowie,lindfield,3568,nsw,19521116,9500871
62,31,jackson,cmielewski,,anglis s place,brookvale,tweed headse south,3082,vic,19141022,7997511
63,31,jackson,cmielewski,76,angliss place,brookvale,tweed heads south,3082,vic,19141022,7997511
64,32,chloe,gillard,3,crispcir cuit,ban skia,kenilworth,4218,wa,19200820,8072668
65,32,chloe,gillard,3,crisp circuit,banksia,kenilworth,4218,wa,19200820,8072668
66,33,brooklyn,manson,27,clive steele avenue,port fairy road,yagoona,3450,vic,19710727,4493900
67,33,brooklyn,manson,27,clive steele avenue,port fairy road,mount low,3450,vic,19710727,4493900
68,34,isablela,loddwr,156,messenger street,,bayswtaer,4870,vic,19650714,2790666
69,34,isabella,lodder,156,messenger street,tongbong sanctuary,bayswater,4870,vic,19650714,2790666
70,35,michael,belci,1,chisholmstreet,carrington garden,torquay,5085,sa,19300418,1023877
71,35,michael,belci,1,chisholm street,carrington garden,torquay,5085,sa,19300418,1023877
72,36,charlolte,satterley,41,counsel street,hilltop hostel rowethorpe,berwic,4556,nsw,19151209,4658473
73,36,charlotte,satterley,41,counsel street,hilltop hostel rowethorpe,berwick,4556,nsw,19151209,4658473
74,37,nguy en,elixa,29,buxton street,fergson oldge,cunnamulla,2257,sa,19260626,4722136
75,37,eliza,nguyen,29,buxton street,fergson lodge,cunnamulla,2256,sa,19260626,4722136
76,38,cooper,culbetson,30,dow sthreet,,sea lake,4024,nsw,19951031,7943540
77,38,cooper,culbertson,30,dow street,,sea lake,4020,qld,19951031,7943540
78,39,daniel,couzens,37,coventry close,cressbrook,mount eliza,5073,nsw,19881127,6934299
79,39,daniel,couzens,25,coventry close,cressbrook,mount eliza,5073,nsw,19881127,6934299
80,40,jake,berry,99,rivett street,,kingstgorpe,2032,vic,,7190150
81,40,jake,berry,99,leahy close,,kingsthorpe,2032,vic,19720702,7190150
82,41,claudia,eglin ton,50,glenelg street,lans downe,roleystone,4556,vic,19811022,6033620
83,41,claudia,eglinton,50,glenelg street,lansdowne,roleystone,4556,vic,19811022,6033620
84,42,morclm,thomas,16,alexandria street,trapalanda,vermont south,3714,vic,19800706,4569567
85,42,thomas,morcom,16,alexandria street,trapalanda,vermont south,3714,vic,19800706,4569567
86,43,kyah,ngai,56,shoalhaven avenue,the nount,culburra,3083,vic,19630406,9351600
87,43,kyah,ngai,30,shoalhaven avenue,the mount,culburra,3083,vic,19630406,9351600
88,44,georgia,wilde,2,warra creek,freda gibsom circuit,,2154,sa,19550212,6569089
